Product Id,Product Handle,Product Title,Product Status,Product Sales Channel 1,Variant Id
prod_01JSHDVMVDMPKCGWSDYXKY7C34,t-shirt,Medusa T-Shirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXN5QCN8HY9T66NAJ3Q
prod_01JSHDVMVDMPKCGWSDYXKY7C34,t-shirt,Medusa T-Shirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXNZSEWRTQ7QWT434FR
prod_01JSHDVMVDMPKCGWSDYXKY7C34,t-shirt,Medusa T-Shirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXN60SESZCZX9CS4CSP
prod_01JSHDVMVDMPKCGWSDYXKY7C34,t-shirt,Medusa T-Shirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXNHY4K031J73SEQHKG
prod_01JSHDVMVDMPKCGWSDYXKY7C34,t-shirt,Medusa T-Shirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXNVAWYSBRCAY13S9A9
prod_01JSHDVMVDMPKCGWSDYXKY7C34,t-shirt,Medusa T-Shirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXN6S7DZ2NQA289KVT3
prod_01JSHDVMVDMPKCGWSDYXKY7C34,t-shirt,Medusa T-Shirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXPCXTNHJ32CC05YNF9
prod_01JSHDVMVDMPKCGWSDYXKY7C34,t-shirt,Medusa T-Shirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXPX11C6BMRVHWT74KK
prod_01JSHDVMVDNPVAP5DKZ0YX0MZX,sweatshirt,Medusa Sweatshirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXPF3R1DH3VSK9PZTGF
prod_01JSHDVMVDNPVAP5DKZ0YX0MZX,sweatshirt,Medusa Sweatshirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXPH9NFHAVEYAS5NMXQ
prod_01JSHDVMVDNPVAP5DKZ0YX0MZX,sweatshirt,Medusa Sweatshirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXPMMNKRGVZ5WZM3B0D
prod_01JSHDVMVDNPVAP5DKZ0YX0MZX,sweatshirt,Medusa Sweatshirt,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXPW3DWDFWHEXYPMD90
prod_01JSHDVMVE3TDDH83S40WTAGPD,sweatpants,Medusa Sweatpants,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXPZ6GWQGRMFA4DBYRB
prod_01JSHDVMVE3TDDH83S40WTAGPD,sweatpants,Medusa Sweatpants,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXPQHTG5XNWXV8GAGMQ
prod_01JSHDVMVE3TDDH83S40WTAGPD,sweatpants,Medusa Sweatpants,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXPC67F0DZRY4JWC7W1
prod_01JSHDVMVE3TDDH83S40WTAGPD,sweatpants,Medusa Sweatpants,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXQF6P5WFMYJBN01VJ8
prod_01JSHDVMVEQXSBCZ1K0PA40PPE,shorts,Medusa Shorts,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXQ8RYXY8M935E26RPK
prod_01JSHDVMVEQXSBCZ1K0PA40PPE,shorts,Medusa Shorts,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXQ380X7VESVYHJA71E
prod_01JSHDVMVEQXSBCZ1K0PA40PPE,shorts,Medusa Shorts,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXQ565C6DTWH8Q2TAS9
prod_01JSHDVMVEQXSBCZ1K0PA40PPE,shorts,Medusa Shorts,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSHDVMXQ4W5FNNEC3WNVKT00
prod_01JSRKGT46P9990G64Z8AW7681,samreg,!0<>@53C;NNG89 =03@V20;L=89 :015;L 33 B/<,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSRKGTQ0F2AAWV0ABHE6TWGJ
prod_01JSRKVVVMHSBTA6QPJ8J0NS40,test,Test1,published,sc_01JSHDVE0X3029Y8Q4M3FE3HF2,variant_01JSRKVVWTB4T2XG9F1MX7BDK2
